num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/num_env_steps_sampled,env_runners/rlmodule_inference_timer,env_runners/sample,env_runners/env_reset_timer,env_runners/episode_duration_sec_mean,env_runners/episode_return_mean,env_runners/weights_seq_no,env_runners/env_step_timer,env_runners/env_to_module_sum_episodes_length_in,env_runners/env_to_module_sum_episodes_length_out,env_runners/episode_return_max,env_runners/episode_len_mean,env_runners/num_episodes_lifetime,env_runners/num_env_steps_sampled_lifetime,env_runners/episode_len_max,env_runners/num_episodes,env_runners/episode_len_min,env_runners/episode_return_min,env_runners/num_env_steps_sampled_lifetime_throughput,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,env_runners/agent_episode_return_mean/default_agent,env_runners/num_module_steps_sampled_lifetime/default_policy,env_runners/env_to_module_connector/connector_pipeline_timer,env_runners/num_agent_steps_sampled/default_agent,env_runners/num_module_steps_sampled/default_policy,env_runners/num_agent_steps_sampled_lifetime/default_agent,env_runners/module_to_env_connector/connector_pipeline_timer,env_runners/module_episode_return_mean/default_policy,learners/__all_modules__/learner_connector_sum_episodes_length_in,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/learner_connector_sum_episodes_length_out,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_env_steps_trained_lifetime_throughput,learners/__all_modules__/num_module_steps_trained_lifetime_throughput,learners/default_policy/num_module_steps_trained,learners/default_policy/curr_entropy_coeff,learners/default_policy/vf_loss_unclipped,learners/default_policy/num_trainable_parameters,learners/default_policy/default_optimizer_learning_rate,learners/default_policy/vf_loss,learners/default_policy/entropy,learners/default_policy/weights_seq_no,learners/default_policy/vf_explained_var,learners/default_policy/curr_kl_coeff,learners/default_policy/mean_kl_loss,learners/default_policy/policy_loss,learners/default_policy/num_module_steps_trained_lifetime,learners/default_policy/total_loss,learners/default_policy/diff_num_grad_updates_vs_sampler_policy,learners/default_policy/module_train_batch_size_mean,learners/default_policy/num_module_steps_trained_lifetime_throughput,learners/__all_modules__/learner_connector/connector_pipeline_timer,env_runners/env_to_module_connector/timers/connectors/numpy_to_tensor,env_runners/env_to_module_connector/timers/connectors/batch_individual_items,env_runners/env_to_module_connector/timers/connectors/add_states_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/add_observations_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/module_to_env_connector/timers/connectors/un_batch_to_individual_items,env_runners/module_to_env_connector/timers/connectors/remove_single_ts_time_rank_from_batch,env_runners/module_to_env_connector/timers/connectors/get_actions,env_runners/module_to_env_connector/timers/connectors/listify_data_for_vector_env,env_runners/module_to_env_connector/timers/connectors/tensor_to_numpy,env_runners/module_to_env_connector/timers/connectors/normalize_and_clip_actions,learners/__all_modules__/learner_connector/timers/connectors/add_observations_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/add_states_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,learners/__all_modules__/learner_connector/timers/connectors/numpy_to_tensor,learners/__all_modules__/learner_connector/timers/connectors/add_columns_from_episodes_to_train_batch,learners/__all_modules__/learner_connector/timers/connectors/batch_individual_items,learners/__all_modules__/learner_connector/timers/connectors/general_advantage_estimation,learners/__all_modules__/learner_connector/timers/connectors/add_one_ts_to_episodes_and_truncate
1,4004.0,False,1,e4c3d_00000,2026-03-22_19-36-26,1774222586,4.656831741333008,4.656831741333008,27124,David_Laptop,127.0.0.1,4.656831741333008,1,4.647939799819142,2.389959990978241e-05,4.647330599837005,0.4084589001722634,4.23242950020358,0.005087799858301878,4004.0,0.00044928367928245383,0.3684766748920083,0.00045205012429505587,0.09153225401882083,-100.54224864259362,0.0,0.0001452181951569828,133.98187569051896,133.98187569051896,-68.06386850774288,67.2,52.0,4004.0,106,52.0,37,-169.07087148725986,nan,4,0,4,20.057142857142857,94.44285714285715,-100.54224864259362,4004.0,0.00021042688725833738,4004.0,4004.0,4004.0,0.0014531102985885953,-100.54224864259362,4004,136965,0,1298968,40832,40832,4072,1298968,nan,nan,40832,0.01,3886.4897,136965,0.0001,9.464367,1.3774579,1.0,0.005109191,0.20000000298023224,0.009189358,0.04907973,40832,4.769327,1.0,128.0,nan,0.37931059999391437,5.7877053268993825e-05,3.62813959407924e-05,2.0571888642223443e-06,1.604054015634543e-05,5.224307952102515e-06,4.254736903144973e-05,2.1003890241433995e-06,0.0010420225461399996,6.042179285459251e-05,0.00011011509381025257,9.135524483738083e-05,0.0007703998126089573,1.109996810555458e-05,5.389982834458351e-05,0.0006019999273121357,0.11767890024930239,0.20398039976134896,0.04560429975390434,0.009795899968594313
1,8008.0,False,2,e4c3d_00000,2026-03-22_19-36-30,1774222590,4.331473350524902,8.98830509185791,27124,David_Laptop,127.0.0.1,8.98830509185791,2,4.644698371822014,2.3914603516459466e-05,4.644089701836928,0.40844950517173856,4.229208554201759,0.0050823988625779744,4004.0,0.00021561286967780195,0.3685669011424761,0.00045205012429505587,0.1213911529770121,-91.25341993786395,1.0,0.00012648298900757131,179.64595943171713,179.64595943171713,-63.68731529265642,86.25,96.0,8008.0,164,44.0,39,-149.9886245727539,852.173156468326,4,0,4,24.933333333333337,94.64999999999999,-91.25341993786395,8008.0,0.00017091354340336681,4004.0,4004.0,8008.0,0.0007444787195135594,-91.25341993786395,4004.0,136965,0,1292352,81536,40704,4071.9199999999996,2591320,nan,nan,40704,0.01,2741.3113,136965,0.0001,9.510522,1.3632247,2.0,-0.016384244,0.20000000298023224,0.0060053575,0.16571113,81536,4.908541,1.0,128.0,nan,0.3776863029971719,5.2402873004090755e-05,3.236574731891498e-05,2.0052256671738865e-06,1.5111039189647165e-05,2.7328793469332363e-06,4.036031290041634e-05,1.970364726737106e-06,0.00040128472613340017,5.874960823014312e-05,8.190315423186372e-05,7.174939572984327e-05,0.0007719088112935424,1.1483966372907162e-05,5.5168829858303065e-05,0.0005993169313296675,0.1175215912470594,0.20268426976632326,0.045452224756591025,0.009776207972317933
1,12016.0,False,3,e4c3d_00000,2026-03-22_19-36-35,1774222595,4.4288084506988525,13.417113542556763,27124,David_Laptop,127.0.0.1,13.417113542556763,3,4.642431737103593,2.3874457832425832e-05,4.641823474818188,0.40811384812281465,4.227295034662214,0.005070656875846908,4008.0,0.00018372781240850523,0.3683835583813605,0.00045205012429505587,0.12903826993424444,-94.04875877864659,2.0,0.00011930536978451171,197.56372844656266,197.56372844656266,-69.21412843465805,96.64,140.0,12016.0,185,44.0,49,-155.07835181057453,855.9056786447842,4,0,4,22.75714285714286,94.79999999999998,-94.04875877864659,12016.0,0.00016214208182629573,4008.0,4008.0,12016.0,0.0006455896608734941,-94.04875877864659,4004.04,136965,0,1293624,122240,40704,4071.8807999999995,3884944,290568.08690968173,9142.751175710182,40704,0.01,2260.7642,136965,0.0001,9.595874,1.360501,3.0,-0.038536906,0.20000000298023224,0.0075312126,0.04551169,122240,4.8313503,1.0,128.0,9142.753228852183,0.3759915159700438,4.900193381200063e-05,3.2196685044492264e-05,1.8454568500141773e-06,1.3693349795505843e-05,2.46344846549609e-06,4.426393497571905e-05,1.9271485058182616e-06,0.0003013676838942454,5.923975640119287e-05,7.706714485926036e-05,7.21839967325679e-05,0.0007703497235197574,1.1465127440169453e-05,5.508314277976751e-05,0.0005968517609406262,0.11727094933628104,0.20137542807017453,0.045348914505774156,0.009753214890323578
1,16022.0,False,4,e4c3d_00000,2026-03-22_19-36-39,1774222599,4.855076551437378,18.27219009399414,27124,David_Laptop,127.0.0.1,18.27219009399414,4,4.641015289734275,2.386271381843835e-05,4.640404898074387,0.40813244764340995,4.225865923313709,0.005066918306166772,4006.0,0.0001888094084316724,0.3682083610481883,0.00045205012429505587,0.13128569394815714,-92.9252189405635,3.0,0.00012051461701169589,199.8219732641632,199.8219732641632,-69.47177596390247,97.87,182.0,16022.0,203,42.0,55,-159.99591886997223,857.7982373059026,4,0,4,22.385714285714283,95.15714285714286,-92.9252189405635,16022.0,0.00016240649371082366,4006.0,4006.0,16022.0,0.0006301479571884853,-92.9252189405635,4004.0596,136965,0,1292352,162944,40704,4071.8019919999992,5177296,290296.271468021,9134.640356114987,40704,0.01,2029.7434,136965,0.0001,9.488528,1.3628064,4.0,0.003892839,0.20000000298023224,0.009038045,0.16250952,162944,4.894953,1.0,128.0,9134.641414997892,0.3756136908098478,4.8980778754111336e-05,3.190669320234334e-05,1.8500565394951338e-06,1.4056709521331029e-05,2.4651411101661135e-06,4.061397719213725e-05,2.0264190545164746e-06,0.00029556818997515205,5.886717770777504e-05,7.673067979116949e-05,6.762525988859014e-05,0.0007690212224400602,1.1472474766429513e-05,5.51173123139888e-05,0.0005942162419348023,0.11708534284227015,0.20135954778678855,0.04516405236075772,0.009770167738886549
1,20026.0,False,5,e4c3d_00000,2026-03-22_19-36-44,1774222604,4.860312223434448,23.13250231742859,27124,David_Laptop,127.0.0.1,23.13250231742859,5,4.643073684840517,2.397508818878792e-05,4.642460995096115,0.40815137816458685,4.227914901081029,0.005059596121386881,4004.0,0.00018250498070856785,0.36818294368860593,0.00045205012429505587,0.1314715089974925,-94.03634838923811,4.0,0.00011611921372403381,185.74905982442343,185.74905982442343,-67.55931327864528,99.58,226.0,20026.0,227,44.0,59,-195.43079529702663,855.8189969865075,4,0,4,33.58571428571429,95.8,-94.03634838923811,20026.0,0.0001578058381813312,4004.0,4004.0,20026.0,0.0006148426059988574,-94.03634838923811,4004.059004,136965,0,1292352,203648,40704,4071.723972079999,6469648,288123.0149784236,9066.645221923496,40704,0.01,2059.311,136965,0.0001,9.47132,1.3633577,5.0,0.02058965,0.20000000298023224,0.005222591,-0.060750395,203648,4.662321,1.0,128.0,9066.617680292953,0.37393060390338545,4.840937542927425e-05,3.1328319575215136e-05,1.7588171368480938e-06,1.325759643909745e-05,2.3414656539737438e-06,4.0266073832752e-05,1.908757219006452e-06,0.00029028709501042544,5.598457430873725e-05,7.368953022269868e-05,6.628234801712206e-05,0.0007675490086681443,1.1447753032376058e-05,5.498313887363299e-05,0.0005912370822865934,0.1168481824139629,0.20010540730710838,0.044990985837262853,0.00975975406025594
1,24030.0,False,6,e4c3d_00000,2026-03-22_19-36-51,1774222611,6.569567441940308,29.702069759368896,27124,David_Laptop,127.0.0.1,29.702069759368896,6,4.662172942993964,2.3970337932152766e-05,4.661560069146682,0.40965366938707576,4.245515641069494,0.005061484159343375,4004.0,0.00026595863110950613,0.3696694905012139,0.00045205012429505587,0.1795162239484489,-85.39521247297526,5.0,0.00016939979806551887,196.0114376130079,196.0114376130079,-69.32340890914202,92.86,270.0,24030.0,220,44.0,37,-135.46264308691025,852.8493596407232,4,0,4,24.433333333333334,95.27777777777777,-85.39521247297526,24030.0,0.00023422179779110312,4004.0,4004.0,24030.0,0.0008887928368899464,-85.39521247297526,4004.05841396,136965,0,1292352,244352,40704,4071.6467323591987,7762000,283521.8490100753,8922.146702962786,40704,0.01,1842.1151,136965,0.0001,9.314367,1.3606592,6.0,-0.013938189,0.20000000298023224,0.0050450037,-0.04583128,244352,4.5987544,1.0,128.0,8922.098818340062,0.3731888608660513,7.262979391366662e-05,4.6236125927112294e-05,2.7682656750121955e-06,1.9668223837923927e-05,4.26154983542712e-06,5.5565464058136726e-05,2.714491444672899e-06,0.0004213680902439313,8.14524767092383e-05,0.00010923304139410471,9.557878711900126e-05,0.0007684455186603197,1.152127693357705e-05,5.513030464312601e-05,0.0005909117109322329,0.11694676458937182,0.19929336323761895,0.04496467597735689,0.00975963552034098
1,28036.0,False,7,e4c3d_00000,2026-03-22_19-36-58,1774222618,7.136934757232666,36.83900451660156,27124,David_Laptop,127.0.0.1,36.83900451660156,7,4.686722436563716,2.4361633536810462e-05,4.686101747455833,0.41146330069211495,4.268222581660247,0.005089127319926822,4006.0,0.00028332228877157807,0.37136090059563975,0.00045205012429505587,0.1963659809110686,-89.33417381584644,6.0,0.00018189161805574514,227.89601006790494,227.89601006790494,-68.099430821836,96.82,308.0,28036.0,176,38.0,53,-147.04564018547535,840.3928925806971,4,0,4,22.21,95.34,-89.33417381584644,28036.0,0.0002492903576895537,4006.0,4006.0,28036.0,0.0009665699795799326,-89.33417381584644,4004.0778298204,136965,0,1291080,285056,40704,4071.5302650356066,9053080,278360.30111123266,8760.296123351729,40704,0.01,1694.9034,136965,0.0001,8.985269,1.3636053,7.0,-0.05473864,0.10000000149011612,0.0046469546,0.02930274,285056,4.50923,1.0,128.0,8760.173857743226,0.37467841125667856,7.676013749213221e-05,4.953713013102332e-05,2.99977149290358e-06,2.142006479699761e-05,3.992421458813485e-06,6.221757110687709e-05,2.894029804171933e-06,0.0004545792499151978,9.234286714415381e-05,0.00011617957726892972,0.00010515034163444921,0.000772217062229708,1.1519066188832248e-05,5.519400045884208e-05,0.0005911975932644149,0.1173631169440968,0.20026067160565125,0.04503133522113898,0.009797567168003183
1,32042.0,False,8,e4c3d_00000,2026-03-22_19-37-04,1774222624,6.1403162479400635,42.979320764541626,27124,David_Laptop,127.0.0.1,42.979320764541626,8,4.701146395193853,2.470001930477106e-05,4.700519794980236,0.4129059436863939,4.281198774845492,0.005091506044897989,4006.0,0.00026266271770279497,0.37268601308941507,0.00045205012429505587,0.17636432692408563,-80.86412550583482,7.0,0.0001706462069448719,197.77829955479262,197.77829955479262,-68.48211042582989,89.73,354.0,32042.0,184,46.0,53,-138.29493488371372,826.4772410340227,4,0,4,38.52222222222221,94.1222222222222,-80.86412550583482,32042.0,0.00023104458673819229,4006.0,4006.0,32042.0,0.000894775212986909,-80.86412550583482,4004.0970515221957,136965,0,1293624,325760,40704,4071.4949623852503,10346704,274914.99967795995,8651.719253026798,40704,0.01,1857.88,136965,0.0001,9.49237,1.3601253,8.0,0.001591146,0.05000000074505806,0.0041483934,0.16584401,325760,4.898843,1.0,128.0,8651.700615093696,0.3738842431446598,7.120700292571651e-05,4.730597691027604e-05,2.8127537959871553e-06,2.00781616169868e-05,3.538065825119736e-06,5.6933962888095095e-05,2.8022340547361645e-06,0.0004202417330795906,8.290945237918643e-05,0.00010768604397493731,9.898717451041552e-05,0.000779200889499135,1.1538875390747312e-05,5.5169058646325575e-05,0.0005887856206994331,0.11768769677290787,0.1992269668888895,0.044918020868046395,0.00982468949660371
1,36045.0,False,9,e4c3d_00000,2026-03-22_19-37-11,1774222631,6.5111517906188965,49.49047255516052,27124,David_Laptop,127.0.0.1,49.49047255516052,9,4.719065359243013,2.4651018291086597e-05,4.718436970031897,0.4150515712500803,4.29695579809609,0.005110496983565608,4003.0,0.00030028607540164346,0.3746783067080446,0.00045205012429505587,0.2079073220025748,-83.40365982770919,8.0,0.00019173030112885732,229.24917403411587,229.24917403411587,-68.9389461427927,94.41,391.0,36045.0,182,37.0,54,-128.5534269809723,817.2442929006535,4,0,4,24.099999999999998,91.18888888888888,-83.40365982770919,36045.0,0.0002635267928307895,4003.0,4003.0,36045.0,0.0010060092757242984,-83.40365982770919,4004.086081006974,136965,0,1285435,366336,40576,4071.330012761398,11632139,271011.90729670285,8529.807711604913,40576,0.01,1252.8567,136965,0.0001,8.893667,1.3549166,9.0,0.0058432817,0.05000000074505806,0.010586919,-0.115423165,366336,4.3183913,1.0,128.0,8529.807123705597,0.3733403447149474,7.942399772928359e-05,5.039411165913029e-05,3.0204519739869245e-06,2.2186981617423722e-05,3.968587259088037e-06,6.344673404897689e-05,2.9577846498888573e-06,0.000476292062437508,9.145591217157066e-05,0.00012170395742124254,0.00010852902036547889,0.0007835778812968092,1.1615483442209694e-05,5.594936423252887e-05,0.0005882727623466716,0.11804241180266067,0.19827662722122963,0.0449238416606122,0.009868194600673152
1,40053.0,False,10,e4c3d_00000,2026-03-22_19-37-18,1774222638,6.690607786178589,56.18108034133911,27124,David_Laptop,127.0.0.1,56.18108034133911,10,4.738572626653797,2.4778508627689817e-05,4.737937295329544,0.4169183775376956,4.314545698111989,0.00515100001278653,4008.0,0.0002725363019722377,0.37628621838949433,0.00045205012429505587,0.2149637239612639,-92.08117485444993,9.0,0.0001819951621286541,219.75441319852564,219.75441319852564,-66.36800615862012,103.43,431.0,40053.0,304,40.0,55,-189.13247154653072,807.1277114106603,4,0,4,24.910000000000004,90.87999999999998,-92.08117485444993,40053.0,0.0002463435394567773,4008.0,4008.0,40053.0,0.0009437737668885675,-92.08117485444993,4004.125220196904,136965,0,1292352,407040,40704,4071.256712633784,12924491,267081.1593161451,8406.319265017362,40704,0.01,1955.4592,136965,0.0001,9.169801,1.3631545,10.0,-0.01194644,0.05000000074505806,0.0053822524,0.048547607,407040,4.6200857,1.0,128.0,8406.304754297033,0.3741855492675176,7.329024183550905e-05,4.908744380976331e-05,2.7890123108507665e-06,2.1633233653977386e-05,3.978190359844321e-06,6.226004944032113e-05,2.8921148699897185e-06,0.0004372524970017318,8.701231873603999e-05,0.00011536399720558208,0.00010430997339421898,0.0007851431007260405,1.1662328684796798e-05,5.617986962073403e-05,0.0005883340334176247,0.11811156268489037,0.19903513894919328,0.04492088624639009,0.009888700654183147
